cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_mesas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,1,PARTIDO LIBERAL DE HONDURAS,21
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,10,PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO,0
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,11,PARTIDO NUEVA RUTA DE HONDURAS,0
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,13,PARTIDO LIBERACION DEMOCRATICO DE HONDURAS,0
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,14,PARTIDO TODOS SOMOS HONDURAS,0
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,2,PARTIDO NACIONAL DE HONDURAS,13
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,4,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,3
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,45,MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA,0
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,47,MILTON BENITEZ HONDURAS HUMANA,2
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,5,PARTIDO UNIFICACION DEMOCRATICA,1
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,58,UNIDAD NACIONAL OPOSITORA DE HONDURAS,0
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,6,PARTIDO ANTICORRUPCION,0
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,7,PARTIDO LIBERTAD Y REFUNDACION,137
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,8,PARTIDO ALIANZA PATRIOTICA HONDUREÑA,0
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Lista,9,PARTIDO FRENTE AMPLIO (EL FRENTE),0
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Blanco,BLC,Voto en BLANCO,1
PRE,HN.5.1.1.127.3928_PRE,Mesa,3928_PRE,178,7,64.2361,100.0,185,2021-11-29 01:15:01,Especial,NUL,Votos NULOS,7
