cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_mesas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,1,PARTIDO LIBERAL DE HONDURAS,16
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,10,PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO,0
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,11,PARTIDO NUEVA RUTA DE HONDURAS,1
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,13,PARTIDO LIBERACION DEMOCRATICO DE HONDURAS,0
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,14,PARTIDO TODOS SOMOS HONDURAS,0
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,2,PARTIDO NACIONAL DE HONDURAS,31
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,4,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,0
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,45,MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA,0
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,47,MILTON BENITEZ HONDURAS HUMANA,0
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,5,PARTIDO UNIFICACION DEMOCRATICA,0
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,58,UNIDAD NACIONAL OPOSITORA DE HONDURAS,1
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,6,PARTIDO ANTICORRUPCION,0
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,7,PARTIDO LIBERTAD Y REFUNDACION,128
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,8,PARTIDO ALIANZA PATRIOTICA HONDUREÑA,1
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Lista,9,PARTIDO FRENTE AMPLIO (EL FRENTE),1
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Blanco,BLC,Voto en BLANCO,2
PRE,HN.5.1.1.144.4000_PRE,Mesa,4000_PRE,181,9,63.7583,100.0,190,2021-11-28 23:00:01,Especial,NUL,Votos NULOS,9
